,Tiempo clic,Tiempo retroalimentación,Intervalo,Selección,Ganancia,Pérdida,Balance
0,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(7765.0,)","('C',)","(50,)","(0,)","(2050,)"
1,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(65822251.0,)","('A',)","(100,)","(-50,)","(2100,)"
2,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(65927294.0,)","('D',)","(50,)","(0,)","(2150,)"
3,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(65934963.0,)","('A',)","(100,)","(-500,)","(1750,)"
4,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66063129.0,)","('A',)","(100,)","(-1100,)","(1057,)"
5,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66071926.0,)","('B',)","(100,)","(-50,)","(800,)"
6,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66078317.0,)","('D',)","(50,)","(-50,)","(800,)"
7,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66084984.0,)","('A',)","(100,)","(-1100,)","(115,)"
8,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66094223.0,)","('D',)","(50,)","(-50,)","(-200,)"
9,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66099190.0,)","('B',)","(100,)","(-500,)","(-600,)"
10,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66111377.0,)","('C',)","(50,)","(-50,)","(-600,)"
11,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66117062.0,)","('D',)","(50,)","(-50,)","(-600,)"
12,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66121836.0,)","('C',)","(50,)","(-50,)","(-600,)"
13,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66128141.0,)","('B',)","(100,)","(-1100,)","(-1280,)"
14,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66133612.0,)","('A',)","(100,)","(-250,)","(-1750,)"
15,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66138566.0,)","('A',)","(100,)","(-20,)","(-1670,)"
16,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66143547.0,)","('A',)","(100,)","(-20,)","(-1590,)"
17,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66150107.0,)","('C',)","(50,)","(-50,)","(-1590,)"
18,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66154363.0,)","('D',)","(50,)","(0,)","(-1540,)"
19,"(datetime.date(2023, 3, 16),)","(datetime.date(2023, 3, 16),)","(66158611.0,)","('D',)","(50,)","(0,)","(-1490,)"
